"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density"
2024,40017,155434,182404,"Oklahoma","OK",0.17351416035101708,"Canadian County","Canadian County","oklahoma/canadian-county",897,203.3489409141583
2024,36111,181271,182346,"New York","NY",0.005930347380441514,"Ulster County","Ulster County","new-york/ulster-county",1124,162.22953736654804
2024,51700,186047,182256,"Virginia","VA",-0.02037657151149974,"Newport News city","Newport News city","virginia/newport-news-city",69,2641.391304347826
2024,48329,170362,182197,"Texas","TX",0.06946971742524743,"Midland County","Midland County","texas/midland-county",900,202.4411111111111
2024,37001,171960,181712,"North Carolina","NC",0.056710862991393274,"Alamance County","Alamance County","north-carolina/alamance-county",423,429.5791962174941
2024,48367,149552,181050,"Texas","TX",0.21061570557398102,"Parker County","Parker County","texas/parker-county",904,200.27654867256638
2024,18163,180336,180057,"Indiana","IN",-0.0015471120574926944,"Vanderburgh County","Vanderburgh County","indiana/vanderburgh-county",233,772.7768240343347
2024,45003,169168,180032,"South Carolina","SC",0.06422018348623859,"Aiken County","Aiken County","south-carolina/aiken-county",1071,168.09710550887021
2024,6089,182002,179795,"California","CA",-0.012126240370984975,"Shasta County","Shasta County","california/shasta-county",3776,47.61520127118644
2024,6025,179612,179174,"California","CA",-0.0024385898492305103,"Imperial County","Imperial County","california/imperial-county",4176,42.905651340996165
2024,20177,178709,177955,"Kansas","KS",-0.004219149567173397,"Shawnee County","Shawnee County","kansas/shawnee-county",544,327.12316176470586
2024,24013,172941,177806,"Maryland","MD",0.028130981086035067,"Carroll County","Carroll County","maryland/carroll-county",448,396.88839285714283
2024,26121,174784,177589,"Michigan","MI",0.016048379714390437,"Muskegon County","Muskegon County","michigan/muskegon-county",504,352.359126984127
2024,37057,169203,177228,"North Carolina","NC",0.04742823708799482,"Davidson County","Davidson County","north-carolina/davidson-county",553,320.4846292947559
2024,17143,181319,177026,"Illinois","IL",-0.02367650384129627,"Peoria County","Peoria County","illinois/peoria-county",619,285.9870759289176
2024,37147,170390,176628,"North Carolina","NC",0.03661012970244726,"Pitt County","Pitt County","north-carolina/pitt-county",652,270.90184049079755
2024,9130,173268,176448,"Connecticut","CT",0.018353071542350552,"Lower CT River Valley Planning Region","Lower CT River Valley Planning Region","connecticut/lower-connecticut-river-valley-planning-regio",424,416.1509433962264
2024,18127,173318,175822,"Indiana","IN",0.01444743188820552,"Porter County","Porter County","indiana/porter-county",418,420.6267942583732
2024,19163,174609,174789,"Iowa","IA",0.0010308746971805505,"Scott County","Scott County","iowa/scott-county",458,381.6353711790393
2024,13153,164356,174173,"Georgia","GA",0.05973009807977814,"Houston County","Houston County","georgia/houston-county",376,463.2260638297872
2024,24017,166741,173835,"Maryland","MD",0.04254502491888612,"Charles County","Charles County","maryland/charles-county",458,379.5524017467249
2024,54039,180233,173746,"West Virginia","WV",-0.03599229885758992,"Kanawha County","Kanawha County","west-virginia/kanawha-county",902,192.6230598669623
2024,45035,162043,173616,"South Carolina","SC",0.07141931462636464,"Dorchester County","Dorchester County","south-carolina/dorchester-county",568,305.6619718309859
